0.026,-2.425
0.023,-2.430
0.023,-2.435
0.027,-2.447
0.020,-2.454
0.020,-2.463
0.024,-2.466
0.027,-2.470
0.024,-2.475
0.027,-2.470
0.027,-2.480
0.027,-2.480
0.024,-2.485
0.027,-2.494
0.020,-2.494
0.024,-2.496
0.021,-2.498
0.014,-2.501
0.017,-2.503
0.021,-2.506
0.018,-2.517
0.018,-2.517
0.018,-2.517
0.011,-2.524
0.011,-2.529
0.015,-2.534
0.015,-2.538
0.012,-2.543
0.019,-2.541
0.016,-2.543
0.015,-2.546
0.015,-2.546
0.019,-2.538
0.015,-2.546
0.022,-2.543
0.019,-2.541
0.019,-2.543
0.022,-2.538
0.018,-2.536
0.018,-2.536
0.022,-2.527
0.022,-2.526
0.025,-2.522
0.025,-2.522
0.022,-2.517
0.022,-2.517
0.025,-2.512
0.025,-2.517
0.029,-2.522
0.029,-2.522
0.032,-2.524
0.032,-2.524
0.032,-2.524
0.032,-2.524
0.032,-2.524
0.036,-2.522
0.042,-2.515
0.042,-2.517
0.052,-2.515
0.052,-2.515
0.055,-2.513
0.055,-2.513
0.059,-2.511
0.062,-2.508
0.065,-2.503
0.072,-2.504
0.076,-2.499
0.082,-2.492
0.086,-2.497
0.089,-2.492
0.096,-2.495
0.099,-2.490
0.106,-2.483
0.109,-2.481
0.109,-2.481
0.113,-2.476
0.120,-2.483
0.123,-2.481
0.123,-2.478
0.126,-2.474
0.130,-2.469
0.130,-2.469
0.130,-2.469
0.133,-2.467
0.129,-2.455
0.129,-2.455
0.136,-2.455
0.136,-2.452
0.136,-2.448
0.140,-2.450
0.143,-2.448
0.143,-2.440
0.146,-2.438
0.142,-2.436
0.149,-2.429
0.149,-2.429
0.152,-2.426
0.149,-2.424
0.152,-2.422
0.152,-2.422
0.156,-2.426
0.152,-2.422
0.149,-2.424
0.149,-2.424
0.149,-2.429
0.146,-2.431
0.146,-2.431
0.143,-2.431
0.143,-2.431
0.143,-2.436
0.136,-2.438
0.140,-2.438
0.140,-2.438
0.136,-2.433
0.129,-2.433
0.126,-2.433
0.119,-2.433
0.119,-2.433
0.112,-2.426
0.115,-2.421
0.108,-2.423
0.108,-2.423
0.108,-2.423
0.105,-2.428
0.102,-2.430
0.092,-2.426
0.095,-2.428
0.099,-2.433
0.092,-2.440
0.088,-2.435
0.085,-2.437
0.089,-2.442
0.085,-2.437
0.082,-2.444
0.085,-2.433
0.085,-2.433
0.085,-2.438
0.085,-2.438
0.088,-2.435
0.084,-2.433
0.084,-2.433
0.088,-2.428
0.084,-2.419
0.080,-2.423
0.077,-2.411
0.073,-2.409
0.073,-2.409
0.070,-2.404
0.066,-2.402
0.063,-2.397
0.063,-2.397
0.056,-2.395
0.059,-2.392
0.056,-2.395
0.053,-2.388
0.050,-2.392
0.050,-2.392
0.046,-2.395
0.043,-2.392
0.039,-2.390
0.039,-2.392
0.039,-2.388
0.046,-2.395
0.038,-2.392
0.035,-2.390
0.027,-2.387
0.023,-2.385
0.026,-2.384
0.023,-2.382
0.022,-2.377
0.019,-2.375
0.012,-2.377
0.012,-2.377
0.008,-2.374
